Title,Time_Created,Category,Teaser
Plans afoot to rescue KTMB from derailing,2019-12-04 12:02:00,Exclusive,"INDUSTRY players have sketched out a rescue plan for Keretapi Tanah Melayu Bhd (KTMB), the country’s oldest railway service, to save it from further ‘derailment’ and return the company to its glory days."
DWP outlines plans for self-reliant armed forces,2019-12-03 13:30:00,Exclusive,"Defence Minister Mohamad Sabu said the mission could be achieved through investments in extensive research and development, and bolstering human capital."
'Touch 'n Go reload lanes will not reopen',2019-12-03 12:50:00,Exclusive, Plus Malaysia Bhd will not reopen any lane for Touch ’n Go (TnGo) reloading despite complaints from road users.
DWP will explain govt's stance on defence,2019-12-02 12:45:00,Exclusive, Malaysia’s Defence White Paper (DWP) is an open document that will explain the government’s focus in the defence sector in the next 10 years.
Can Tian Chua bring end to PKR's infighting?,2019-12-02 12:30:00,Exclusive, Tian Chua is currently the man of the hour to mend broken ties in the period leading up to PKR’s National Congress in Melaka this weekend.
"Defence White Paper will protect Msia's secrets, sovereignty",2019-12-02 12:15:00,Exclusive," The inaugural Defence White Paper (DWP), which will be tabled in the Dewan Rakyat today, is set to strengthen the country’s defence through more comprehensive means."
Man who first shone spotlight on Bornean rhino,2019-12-01 13:15:00,Exclusive," News of the untimely death of Iman, Malaysia’s last-known surviving Sumatran rhinoceros, was heart-wrenching. The incident has far-reaching effects on our nation’s rich biodiversity as the species Iman belongs to is virtually extinct within our borders."
Shweta is ready for her Miss Universe close-up,2019-12-01 12:15:00,Exclusive," MALAYSIA’S Shweta Sekhon is ready to take on the world in the 68th edition of the Miss Universe pageant in Atlanta, the United States, on Dec 8."
"Despite sinkholes, KL is not caving in",2019-11-30 13:39:00,Exclusive," Despite what has been dubbed as a scary geological foreshadowing, the three sinkholes that appeared in the capital here within three days this week do not mean the city is caving in."
'New STREAM system a challenge to teachers',2019-11-30 13:34:00,Exclusive," Educators are concerned about the difficulties they are likely to face when the Science, Technology, Reading, Arts and Music (STREAM) education system for upper secondary students kicks off next year."
Ex-IGP: OK to bring back Chin Peng's ashes,2019-11-29 14:03:00,Exclusive, The country’s former top cop said he feels it is not wrong for Chin Peng’s ashes to be brought back.
Bahau's unique Rahmania Mosque still stands tall,2019-11-29 13:30:00,Exclusive," The town of Bahau may have bade farewell to its former reputation as a ‘cowboy town’, having enjoyed an industrial and property boom in recent years."
Is the Anwar-Azmin infighting worth it?,2019-11-29 12:57:00,Exclusive, IT is often said that vomiting when one is sick will make the person feel better. The reasoning is simple  let out the bad stuff to feel healthy again.
'Communists hurt people of all races',2019-11-28 12:04:00,Exclusive," The controversy surrounding former Communist Party of Malaya (CPM) leader Chin Peng’s ashes isn’t simply about reopening old wounds, but that more than 40 years on, the wound themselves have yet to fully heal."
'Zakaria's sacking smack of conspiracy',2019-11-27 12:00:00,Exclusive,"THE chai, or wishlist, that was disseminated during PKR’s last party polls at the end of last year had created a stir among some groups in the party."
Sungai Klang given new lease of life,2019-11-25 12:00:00,Exclusive,"FOR decades, Sungai Klang’s existence and great potential have been overlooked. It was perceived as a mere river that flows from Ampang up to the river mouth in Port Klang, spanning 120km."
Batik behind bars,2019-11-24 13:57:00,Exclusive,"IF traditional tenun (woven) songket by prisoners in Penor and Bentong Prisons is known to have been worn by Raja Permaisuri Agong Tunku Azizah Aminah Maimunah Iskandariah, some of the batik products by inmates at Kajang Women’s Prison, such as the batik purse, have been her accessories of choice."
"Cyberjaya online racket: Police initially tipped-off, but missed it?",2019-11-23 13:28:00,Exclusive," Eight months ago, the both of us were given a lesson in betrayal."
Police: More people falling victim to scams,2019-11-23 12:30:00,Exclusive," AS the old saying goes, curiosity killed the cat. Curiosity can sometimes get the better of us. And when it involves too-good-to-be-true financial schemes, it normally ends up with the victims losing hard-earned cash."
Malaysians lost RM769mil to scams in 3 years,2019-11-23 12:15:00,Exclusive," Scammers have cheated Malaysians of more than RM769 million in the past three years, making it one of the most lucrative illegal business schemes around."
Klang's priceless Kota Bridge,2019-11-22 12:07:00,Exclusive,GAZETTING a national heritage goes beyond preserving its structure; it’s equally important to remember how it came to exist and the stories behind it.
SMART team ready for flood season,2019-11-22 12:05:00,Exclusive," THE Special Malaysia Disaster Assistance and Rescue Team (SMART) is ready to face the northeast monsoon season, set to take take place from next month to March."
The contraband crisis: 12 billion illicit cigs to be consumed this year,2019-11-21 12:00:00,Exclusive, Malaysia is facing a crisis over the illicit cigarettes trade with the sale of contraband hitting all-time high this year.
PM: Muslims must admit to mistakes in order to prosper,2019-11-20 12:00:00,Exclusive," The Muslim community should not blame others for their problems as this will not ensure their security or prosperity, said Prime Minister Tun Dr Mahathir Mohamad."
"NEAC members talk to NST about youth empowerment, gig economy",2019-11-18 14:30:00,Exclusive,"Senior management needs to be aware that the users of today and the future are best understood by people below 40, because they grew up in the economy that is to come."
Tg Piai by-election: 'Defeat a warning to PH',2019-11-18 13:15:00,Exclusive, The outcome of the Tanjung Piai by-election will not weaken Pakatan Harapan’s (PH) spirit.
Tg Piai by-election: Msians realising the power of the vote,2019-11-18 13:00:00,Exclusive," On Saturday, Tanjung Piai voters made sure they were heard loud and clear."
Experts urge restoration of KL's decaying historic buildings,2019-11-18 12:34:00,Exclusive, All that is needed to kick-start the restoration of the decaying buildings on Jalan Raja here is RM10 million.
A piece of history falling apart [NSTTV],2019-11-13 09:00:00,Exclusive, An historical building that bore witness to a significant chapter in Malaya’s journey to nationhood is in danger of being lost.
150-year love affair with postcard,2019-11-11 14:45:00,Exclusive,"THE postcard celebrates its 150th anniversary this year. During our lifetime, a majority of us may have received at least one of these double-sided rectangular cards bearing greetings from loved ones or acquaintances through the post and could very well have reciprocated the gesture when we are away on vacation."
Is something lacking in Karmaine's campaign?,2019-11-09 12:02:00,Exclusive," A long, hot week has passed here in Tanjung Piai, and the seaside town is abuzz with morning market walkabouts, kopitiam forums and “war truck” ceramah."
Plundering gold from forest sites,2019-11-09 12:00:00,Exclusive," ILLEGAL gold miners have been extracting gold nuggets worth nearly half a million ringgit from several spots in the Tersang forest reserve in Raub, it was discovered recently."
Longhouse folks must choose between preservation and safety,2019-11-07 12:10:00,Exclusive,THE unfortunate trend of fires burning down longhouses in Sarawak has left the Dayak community in a quandary.
Quick-thinking bus driver averts disaster in Genting landslide,2019-11-07 12:00:00,Exclusive,"SWIFT, decisive action by a shuttle bus driver prevented further calamity during the landslide in Genting Highlands on Tuesday evening."
Tg Piai polls: Berjasa candidate wants to 'rebuild nation',2019-11-06 12:30:00,Exclusive,Berjasa candidate Datuk Dr Badhrulhisham Abdul Aziz believes his professional background makes him the winning choice for the Tanjung Piai by-election. He tells NST about Berjasa’s ties with Pas and their agenda for Malay unity.
RM18.9bil in 1MDB assets worldwide being tracked down,2019-11-06 12:20:00,Exclusive," There are still RM18.9 billion worth of unidentified assets from 1Malaysia Development Bhd (1MDB), which are still being pursued by the Malaysian Anti-Corruption Commission in at least five countries."
MACC probing Defence Ministry land deals,2019-11-06 12:05:00,Exclusive," The Malaysian Anti-Corruption Commission (MACC) has initiated investigations into each of the 16 land swap deal cases involving the Defence Ministry, which was said to have taken place in the past 25 years."
Saving longhouses from destruction by fire,2019-11-06 12:00:00,Exclusive," FOR more than a century, longhouses have been a ubiquitous feature of Sarawak’s landscape, housing a union of family and culture within their walls."
Three remanded over Motorcycle Grand Prix theft,2019-11-05 12:12:00,Exclusive, Three security staff have been remanded until tomorrow to assist in a probe over a recent theft case at the Malaysian Motorcycle Grand Prix.
Long list of reasons Msians shun carpooling,2019-11-05 12:02:00,Exclusive,"MALAYSIANS prefer to drive alone to work instead of carpooling or taking public transport, a survey by the Centre for Governance and Political Studies (Cent-GPS) found."
Gals queue up for cue sports with My Ladies Pool,2019-11-04 13:30:00,Exclusive," Many Malaysians take up cue sports, which are made up of American Pool (9-ball), British pool, snooker and billiards, from their teenage years or while pursuing tertiary education."
More Penang hilltop land to be sold?,2019-11-04 12:30:00,Exclusive, Is there a possibility of more of Penang’s hilltop land being sold for development?
The charming floating markets of Kelantan,2019-11-03 13:00:00,Exclusive," Mention floating market and images of villagers plying their trades, from food and beverages to handicraft and textiles, on small boats in Thailand spring to mind."
1st RMN chief: Don't distort history for political gain,2019-11-02 13:00:00,Exclusive, Factually written historical records should not be distorted to suit political or religious agendas.
"Trendy, edgy batik blouses",2019-11-02 12:30:00,Exclusive, A 30-year-old woman is setting Penang’s fashion market ablaze with her trendy and edgy batik blouses.
Shamsul Iskandar: ISEA's palm oil advisory will not hit industry,2019-10-31 12:00:00,Exclusive," THE Primary Industries Ministry has allayed fears about the advisory by a leading Indian trade body urging its members against buying Malaysian palm oil, maintaining that it will not put a dent on Malaysia’s edible oil industry."
"Airline, air charter firm under probe",2019-10-30 12:00:00,Exclusive,AN international airline is believed to have “shortchanged” its expatriate cabin crew by masking their basic salaries.
"Yayasan Hasanah - Pioneering ways to tackle social, community woes",2019-10-26 13:30:00,Exclusive," Yayasan Hasanah (Hasanah), the corporate social responsibility (CSR) arm of Khazanah Nasional Bhd, has been setting an example in pioneering sustainable works in addressing community and social issues in the country."
India govt's call on plans to boycott Malaysian palm oil,2019-10-23 12:00:00,Exclusive, THE ball is now in India government’s court over its plans to boycott palm oil products from Malaysia.
CPOPC to rise up in fighting smear campaign against palm oil,2019-10-23 12:00:00,Exclusive," Malaysia and Indonesia need to up their game in debating and setting narratives for the palm oil industry to better tackle decades of smear campaigns, industry officials said."
Mujahid: We want to build this country together,2019-10-21 12:05:00,Exclusive,"Minister in the Prime Minister’s Department (Religious Affairs) Datuk Seri Dr Mujahid Yusof Rawa tells NST about the progress of reforms, the political situation and his aspirations for the country."
"Pok Ku, the 'bottle whisperer'",2019-10-20 15:26:00,Exclusive,"IT is never a good idea to keep your feelings bottled up. Instead, you should “whisper” them out to the ocean, because someone, somewhere in another part of the world, might just “listen”."
Creating a livable Kg Baru for the Malays,2019-10-20 12:15:00,Exclusive,"When Federal Territories Minister Khalid Abdul Samad told the PM he wanted to redevelop Kg Baru, Dr Mahathir wished him ‘good luck’. Despite the challenges, Khalid tells NSTP he is determined to realise the project."
"Khalid to Shahrir: Bro, in a way, I do miss seeing you in Parliament",2019-10-20 10:00:00,Exclusive," ""It must be hard for my brother."""
"If you see a late night or early morning tweet, that is probably me - Khalid",2019-10-19 20:00:00,Exclusive, Federal Territories Minister Khalid Samad is unaffected by the unflattering memes the criticism that he is drawing on social media.
River of Life: 'PAC should scrutinise project inconsistencies',2019-10-19 12:10:00,Exclusive," The Public Accounts Committee is the right authority to look into the inconsistencies with the River of Life (RoL) project, said local government expert Derek Fernandez."
'External auditors can take a look at River of Life',2019-10-19 12:05:00,Exclusive," As the pressure piles on the Federal Territories Ministry to launch a probe into the reported “irregularities” with the River of Life (RoL) project, its minister, Khalid Samad, has welcomed external auditors to scrutinise it."
Treading the waters of international relations with Rastam Mohd Isa,2019-10-19 12:00:00,Exclusive,INSTITUTE of Strategic and International Studies (ISIS) Malaysia chairman and chief executive Tan Sri Rastam Mohd Isa says going from Jakarta to New York to galvanise Non-Aligned Movement members to stop the war on Iraq was one of his most memorable diplomatic moments.
Dr Serena wins cancer research prize,2019-10-18 12:00:00,Exclusive," “Be authentic and stay true to yourself. Be something because you want to, not because anyone else wants you to.”"
Kuantan tunnel longest in ECRL's Dungun-Mentakab alignment,2019-10-16 12:15:00,Exclusive, The relaunch of the East Coast Rail Link (ECRL) project on July 25 has kick-started the construction of the longest rail tunnel along the 223km line between Dungun in Terengganu and Mentakab in Pahang.
ECRL on track as catalyst for economic spin-offs,2019-10-16 12:00:00,Exclusive,MALAYSIA Rail Link Sdn Bhd chief executive officer Datuk Seri Darwis Abdul Razak is upbeat over the renewed East Coast Rail Link blueprint. He is determined to make it work to further modernise Malaysia’s public transportation system. He speaks to NSTP on the project’s latest developments.
Ex-MP's mother for Tanjung Piai?,2019-10-15 13:30:00,Exclusive," Pakatan Harapan is believed to be considering Norma Mohamed, the mother of the late Datuk Dr Md Farid Md Rafik, who was the Tanjung Piai member of parliament, as its candidate for the seat’s by-election."
Golden chance to unite Malay parties,2019-10-14 14:04:00,Exclusive," IT is possible for Malay-based parties to unite under a single umbrella, provided several conditions, including putting aside egos and severing ties with common rivals, are met."
'Vision will ensure no one left behind',2019-10-14 14:00:00,Exclusive," The Pakatan Harapan government on Friday unveiled the 2020 Budget, which aims to ensure that no Malaysian is left behind in the country’s development."
Waste-to-energy facility faces another delay,2019-10-14 13:45:00,Exclusive," As the country tries to resolve its waste problem, news of the revival of the first waste-to-energy (WTE) incinerator plant in Ladang Tanah Merah here should have come as a breath of fresh air."
"E-hailing regulation: 'Brace for worst today, tomorrow'",2019-10-14 13:35:00,Exclusive," With the number of licensed e-hailing drivers almost halved following the enforcement of the e-hailing regulation yesterday, ride-sharing users are advised to expect a longer waiting period with the possibility of paying more for the service."
2020 Budget: Expansionary policy to continue,2019-10-11 14:00:00,Exclusive," THE 2020 Budget, the second annual financial plan under the Pakatan Harapan government, will be a bit more challenging."
'Don't overlook Orang Asli in 2020 Budget',2019-10-09 13:15:00,Exclusive,"THE Peninsular Malaysia Orang Asli Network hopes the government will focus on basic development involving the Orang Asli in the 2020 Budget, which will be tabled on Friday."
Will BN field Umno or MCA candidate in Tg Piai?,2019-10-09 12:45:00,Exclusive,THE statement by Tun Dr Mahathir Mohamad on the possibility that the Pakatan Harapan candidate would retain the Tanjung Piai parliamentary seat has been described as a form of psychological warfare.
2020 Budget: Allocate more R&D funds for OKU,2019-10-09 12:32:00,Exclusive," The disabled community hopes the government, under the 2020 Budget, will provide funding to institutions of higher learning for research and development for people with developmental disabilities, learning disorders, dyslexia, autism and Attention Deficit-Hyperactivity Disorder ."
Aussie WWII hero who fought in Msia soldiers on at 96,2019-10-09 12:15:00,Exclusive,"HE was just nine months at sea as a 19-year-old midshipman, when sudden battle orders were called."
Yayasan Sejahtera declares war on poverty,2019-10-07 12:00:00,Exclusive,"LUXURY was an alien concept to a woman in Kampung Pulutan, Sabah, who previously earned a meager income from her ginger farm."
The strength within: Tengku Puteri Iman Afzan opens up to NST about mental health,2019-10-06 10:31:00,Exclusive,"WHEN she was a teenager, Tengku Puteri Raja Tengku Puteri Iman Afzan Al-Sultan Abdullah, 26, suffered from anxiety. She didn’t know what was wrong and didn’t ask for help, something she wished she had done."
"Focus on eradicating poverty, not causing disunity, says Bersatu leader",2019-10-04 12:05:00,Exclusive,LAWYER and veteran politician Tan Sri Megat Najmuddin Megat Khas stressed the importance of the people’s economy and wellbeing for any nation to progress.
'EU will not lose its appeal just because UK is leaving',2019-10-03 12:01:00,Exclusive,THE European Union remains an important entity that has been guaranteeing peace and prosperity among its 28-member states.
'Repairing culverts should be priority',2019-09-28 13:00:00,Exclusive,"Johor Baru: WHILE the benefit of building a passageway for vessels at the Causeway continues to be debated, activists in Johor are urging the government to first repair the culverts, which spanned the length of the 1.06km-long link."
Conduct study on how pedestrian walkway can reduce traffic,2019-09-27 12:09:00,Exclusive, Studies should be done on how much traffic can be reduced if a pedestrian walkway is built on the Malaysian side of the Causeway.
'Improve Causeway immigration process',2019-09-27 12:00:00,Exclusive," The impending construction of a 1.2km pedestrian walkway linking Malaysia and Singapore at the Causeway has, since its announcement last month, received widespread praise for its outside-the-box concept."
Objection to penalty clause,2019-03-31 08:46:00,Exclusive,"SEVERAL ministers have reportedly voiced their objection to terms in the upcoming Public Service Act, which, among others, aims to institute separation of powers between civil servants and the political administration."
Nation's first highway in bad shape,2019-03-23 08:29:00,Exclusive,"The closer we get to Klang from Petaling Jaya, the more problems we noticed, including poor lighting and unreplaced bulbs. The road towards the KL stretch seem to be better maintained."
Malaysia's right to stake claim to Spratlys,2019-03-02 23:05:00,Exclusive,"Defence experts said these included the constellation of islands, cays, reefs and shoals that make up the Spratlys archipelago."
'It cannot cope with large crowds',2019-01-20 07:53:00,Exclusive,“I admit that the number of counters is not enough to cope with large crowds during public and school holidays.
What an ordeal just to get to work,2019-01-20 07:38:00,Exclusive,"Malaysian motorcyclists routinely endure massive congestion at the Johor-Singapore border to get to work. This situation, which is getting worse, has resulted in not just flare-ups, but also accidents. In the first of a two-part series, Ahmad Fairuz Othman and Rizalman Hammim report on the longstanding problem that is taking a toll on 60,000 riders"
[Exclusive] Additional fractures - Adib's death due to 'chest injuries',2018-12-19 07:16:00,Exclusive," A POST-MORTEM on fireman Muhammad Adib Mohd Kassim’s body revealed additional fractures on his ribcage, which were previously not visible on X-ray."
[Exclusive] NST polls: Umno leaders should not join PH,2018-12-18 08:06:00,Exclusive," THE majority of the 20,000 Netizens polled were against the idea of Pakatan Harapan taking in Umno leaders."
[Exclusive] MACC: Zahid being probed for money politics,2018-12-18 07:58:00,Exclusive, THE Malaysian Anti-Corruption Commission (MACC) has established grounds to start probing Umno president Datuk Seri Dr Ahmad Zahid Hamidi for his alleged involvement in money politics.
Ambrin to tell whole story to PAC,2018-12-03 06:59:00,Exclusive,"It hopes former auditor general Tan Sri Ambrin Buang, the chief of the National Audit Department who signed off on the document, will reveal salient details on who ordered the changes to be made, and who made them."
Felda's black mark: 'Poor Governance',2018-12-03 06:54:00,Exclusive,"A White Paper on Dec 10 will lay out in jaw-dropping detail the poor investment decisions, political interference by the then BN administration, and loopholes in governance that left Felda tottering under a monstrous RM8 billion debt. One example of poor management that sources cite is the purchase of the Grand Plaza Kensington for RM220 million more than what it was valued"
[Exclusive] A new law to combat deadly drinks,2018-11-12 07:15:00,Exclusive," ENFORCEMENT authorities will have more bite when taking action against culprits who manipulate the food and pharmaceutical regulatory system, once a new law comes into force."
[EXCLUSIVE] BN MP earned millions from govt projects,2018-11-09 13:22:00,Exclusive, Graft-busters are in the last stages of connecting the dots in their extensive probe into alleged underhanded deals in several projects carried out by the previous government.
[Exclusive] War on adulterated drinks,2018-11-08 09:47:00,Exclusive, DEPUTY Health Minister Dr Lee Boon Chye has ordered agencies under the ministry to go all out against sellers and manufacturers of adulterated beverages.
[Exclusive] Nowhere to hide - Closing in on tax evaders,2018-11-08 09:39:00,Exclusive, THE INLAND Revenue Board is fast tightening its noose around those who had generated their wealth though illicit means.
[Exclusive] Deadly beverages everywhere,2018-11-07 09:15:00,Exclusive," ADULTERATED beverages with ingredients that can land consumers in hospital are not only flooding the market, but are also expanding their reach abroad."
[Exclusive] Aerospace hub set for revival,2018-11-07 08:30:00,Exclusive,KUALA Lumpur is not short of keen investors who want to be players in the local aerospace industry. This is the main driver of the renewed ambition of turning Malaysia into a global aerospace hub.
[Exclusive] MACC to probe Deepak's confession,2018-10-31 08:28:00,Exclusive, GRAFT-BUSTERS have picked up on businessman Deepak Jaikishan’s “confession” in a pre-recorded talkshow programme that he had bribed his way through Putrajaya to secure contracts.
Lawyers for Liberty: Molestation by politician report retracted claim 'strange',2018-10-30 07:40:00,Exclusive,POLICE should know that any report lodged on a crime can never be retracted.
"Minders biting off more than they can chew, say parents",2018-10-28 10:24:00,Exclusive,Aliza Shah
[EXCLUSIVE] Kids at risk at crowded childcare centres,2018-10-28 08:12:00,Exclusive,THE lives of millions of children are put at risk by parents who send them to unregistered and overcrowded childcare centres.
[Exclusive] Steering MAS out of the red,2018-10-21 09:03:00,Exclusive,"CAPTAIN Izham Ismail has taken a big leap, moving from the cockpit of a plane into Malaysia Airlines Bhd’s boardroom as chief executive officer. Can he pilot the airline out of turbulence?"
[EXCLUSIVE] Law to compel MPs to declare assets,2018-10-08 08:58:00,Exclusive, A new law warranting a mandatory declaration of assets by elected representatives is in the works.
[Exclusive] Doctors must report abuse cases [NSTTV],2018-10-08 08:56:00,Exclusive," MORE often than not, medical practitioners are the first in line to come into contact with child abuse victims. These children are taken to private or government clinics by either their parents or their caregivers, who could also be the perpetrators, to be treated for what is claimed as normal injuries."
Child abuse: We are not doing enough about it,2018-10-07 08:33:00,Exclusive," If the Welfare Department’s statistics are anything to go by, 14 child abuse cases occur a day. Many more go unreported."
[Exclusive] Tsunami warning sirens in Pantai Luak no longer practical,2018-10-05 16:04:00,Exclusive," The sirens used in the tsunami early warning system in Pantai Luak here is no longer suitable, and should be replaced with a system that utilises the handphone’s short message service (SMS)."
Plastic thrown into oceans causing deaths of aquatic mammals,2018-10-04 07:31:00,Exclusive," Disposal of plastic-based solid waste into the oceans is causing the death of aquatic animals, particularly turtles and marine mammals, such as whales, dolphins and dugong."
Plastic danger in eating fish,2018-10-04 06:59:00,Exclusive,"Plastic material, which does not easily decompose, has adverse effects, not only on aquatic animals, but also on humans."
Multiple tsunametre buoys lost,2018-10-04 06:45:00,Exclusive," Three deep-water buoys worth RM7.2 million, used to gather data for an early tsunami warning system, were disposed of as they were no longer functioning."
[Exclusive] Review of report that 'cleared' Najib,2018-10-02 08:28:00,Exclusive,"What will land on the table of the current committee, which was appointed in August, are crucial documents, including those which were not made privy to PAC in the past, as well as “possible new evidence”. "
[Exclusive] Umno willing to discuss unity government with any PH parties,2018-09-26 19:08:00,Exclusive, Umno hopes it can form a unity government with any party within Pakatan Harapan as soon as possible.
Mustapa frustrated by slow reform progress at Umno,2018-09-22 06:55:00,Exclusive,"In an interview with the New Straits Times on Sept 4, the Jeli member of parliament had voiced his concern that the party had not made significant efforts to change after the 14th General Election."
[EXCLUSIVE] 'Reduce teachers' workload',2018-09-18 09:58:00,Exclusive, The government should look into reducing teachers’ workload to enable them to focus more on schoolchildren and help them develop core values.
"[EXCLUSIVE] Sarawak, Sabah CMs to be in MA63 committee",2018-09-18 08:51:00,Exclusive," Sabah Chief Minister Datuk Seri Mohd Shafie Apdal and his Sarawakian counterpart, Datuk Patinggi Abang Johari Abang Openg, will be among the top officials sitting in the high-powered cabinet committee formed to realise provisions enshrined in the Malaysia Agreement 1963 (MA63)."
