Title,Time_Created,Category,Teaser
Msian independence fighter Lim Kean Chye turns 100,"Dec 22, 2019 @ 12:03pm",EXCLUSIVE,"GEORGE TOWN: Lim Kean Chye sat in his wheelchair, calmly filling his pipe with tobacco and puffing away, as his close friends around him were reminiscing about the good old days."
Malaysia's batik industry set for a renaissance,"Dec 22, 2019 @ 12:01pm",EXCLUSIVE,"KUALA LUMPUR: The batik-making industry in Malaysia is set for a revival through a project to boost its appeal, especially on the international front."
Are we ready for an ageing Malaysia?,"Dec 15, 2019 @ 12:24pm",EXCLUSIVE,"KUALA LUMPUR: Malaysia is well on its way to becoming an ageing society by 2030 when it is projected that 15 per cent of its population will be 60 years old and above, according to the Department of Statistics."
"Downturn may affect M'sian pilots with Etihad, Hong Kong Airlines","Dec 6, 2019 @ 12:19pm",EXCLUSIVE,KUALA LUMPUR: The “wings” of several hundred pilots flying for several international airlines are expected to be clipped soon.
RMAF rescues heart attack victim from floods,"Dec 4, 2019 @ 12:10pm",EXCLUSIVE,BESUT:The Royal Malaysian Air Force (RMAF) conducted a mercy flight yesterday to transfer an elderly man who suffered a heart attack and a centipede bite to Jerteh Hospital here.
The gong-making village in Kudat,"Dec 4, 2019 @ 12:08pm",EXCLUSIVE,KUDAT: IT is fascinating and at the same time worrying to observe 56-year-old Darwin Kunama welding metal without wearing safety glasses.
Plans afoot to rescue KTMB from derailing,"Dec 4, 2019 @ 12:02pm",EXCLUSIVE,"KUALA LUMPUR:INDUSTRY players have sketched out a rescue plan for Keretapi Tanah Melayu Bhd (KTMB), the country’s oldest railway service, to save it from further ‘derailment’ and return the company to its glory days."
DWP outlines plans for self-reliant armed forces,"Dec 3, 2019 @ 1:30pm",EXCLUSIVE,"Defence Minister Mohamad Sabu said the mission could be achieved through investments in extensive research and development, and bolstering human capital."
'Touch 'n Go reload lanes will not reopen',"Dec 3, 2019 @ 12:50pm",EXCLUSIVE,KUALA LUMPUR: Plus Malaysia Bhd will not reopen any lane for Touch ’n Go (TnGo) reloading despite complaints from road users.
DWP will explain govt's stance on defence,"Dec 2, 2019 @ 12:45pm",EXCLUSIVE,KUALA LUMPUR: Malaysia’s Defence White Paper (DWP) is an open document that will explain the government’s focus in the defence sector in the next 10 years.
Can Tian Chua bring end to PKR's infighting?,"Dec 2, 2019 @ 12:30pm",EXCLUSIVE,KUALA LUMPUR: Tian Chua is currently the man of the hour to mend broken ties in the period leading up to PKR’s National Congress in Melaka this weekend.
"Defence White Paper will protect Msia's secrets, sovereignty","Dec 2, 2019 @ 12:15pm",EXCLUSIVE,"KUALA LUMPUR: The inaugural Defence White Paper (DWP), which will be tabled in the Dewan Rakyat today, is set to strengthen the country’s defence through more comprehensive means."
Man who first shone spotlight on Bornean rhino,"Dec 1, 2019 @ 1:15pm",EXCLUSIVE,"KUALA LUMPUR: News of the untimely death of Iman, Malaysia’s last-known surviving Sumatran rhinoceros, was heart-wrenching. The incident has far-reaching effects on our nation’s rich biodiversity as the species Iman belongs to is virtually extinct within our borders."
Shweta is ready for her Miss Universe close-up,"Dec 1, 2019 @ 12:15pm",EXCLUSIVE,"KUALA LUMPUR: MALAYSIA’S Shweta Sekhon is ready to take on the world in the 68th edition of the Miss Universe pageant in Atlanta, the United States, on Dec 8."
Shweta is ready for her Miss Universe close-up,"Dec 1, 2019 @ 12:15pm",EXCLUSIVE,"KUALA LUMPUR: MALAYSIA’S Shweta Sekhon is ready to take on the world in the 68th edition of the Miss Universe pageant in Atlanta, the United States, on Dec 8."
"Despite sinkholes, KL is not caving in","Nov 30, 2019 @ 1:39pm",EXCLUSIVE,"KUALA LUMPUR: Despite what has been dubbed as a scary geological foreshadowing, the three sinkholes that appeared in the capital here within three days this week do not mean the city is caving in."
'New STREAM system a challenge to teachers',"Nov 30, 2019 @ 1:34pm",EXCLUSIVE,"KUALA LUMPUR: Educators are concerned about the difficulties they are likely to face when the Science, Technology, Reading, Arts and Music (STREAM) education system for upper secondary students kicks off next year."
Ex-IGP: OK to bring back Chin Peng's ashes,"Nov 29, 2019 @ 2:03pm",EXCLUSIVE,KUALA LUMPUR: The country’s former top cop said he feels it is not wrong for Chin Peng’s ashes to be brought back.
Bahau's unique Rahmania Mosque still stands tall,"Nov 29, 2019 @ 1:30pm",EXCLUSIVE,"JEMPOL: The town of Bahau may have bade farewell to its former reputation as a ‘cowboy town’, having enjoyed an industrial and property boom in recent years."
Is the Anwar-Azmin infighting worth it?,"Nov 29, 2019 @ 12:57pm",EXCLUSIVE,KUALA LUMPUR: IT is often said that vomiting when one is sick will make the person feel better. The reasoning is simple: let out the bad stuff to feel healthy again.
'Communists hurt people of all races',"Nov 28, 2019 @ 12:04pm",EXCLUSIVE,"KUALA LUMPUR: The controversy surrounding former Communist Party of Malaya (CPM) leader Chin Peng’s ashes isn’t simply about reopening old wounds, but that more than 40 years on, the wound themselves have yet to fully heal."
'Zakaria's sacking smack of conspiracy',"Nov 27, 2019 @ 12:00pm",EXCLUSIVE,"THE chai, or wishlist, that was disseminated during PKR’s last party polls at the end of last year had created a stir among some groups in the party."
Sungai Klang given new lease of life,"Nov 25, 2019 @ 12:00pm",EXCLUSIVE,"FOR decades, Sungai Klang’s existence and great potential have been overlooked. It was perceived as a mere river that flows from Ampang up to the river mouth in Port Klang, spanning 120km."
Batik behind bars,"Nov 24, 2019 @ 1:57pm",EXCLUSIVE,"IF traditional tenun (woven) songket by prisoners in Penor and Bentong Prisons is known to have been worn by Raja Permaisuri Agong Tunku Azizah Aminah Maimunah Iskandariah, some of the batik products by inmates at Kajang Women’s Prison, such as the batik purse, have been her accessories of choice."
"Cyberjaya online racket: Police initially tipped-off, but missed it?","Nov 23, 2019 @ 1:28pm",EXCLUSIVE,"KUALA LUMPUR: Eight months ago, the both of us were given a lesson in betrayal."
Police: More people falling victim to scams,"Nov 23, 2019 @ 12:30pm",EXCLUSIVE,"KUANTAN: AS the old saying goes, curiosity killed the cat. Curiosity can sometimes get the better of us. And when it involves too-good-to-be-true financial schemes, it normally ends up with the victims losing hard-earned cash."
Malaysians lost RM769mil to scams in 3 years,"Nov 23, 2019 @ 12:15pm",EXCLUSIVE,"KUANTAN: Scammers have cheated Malaysians of more than RM769 million in the past three years, making it one of the most lucrative illegal business schemes around."
Klang's priceless Kota Bridge,"Nov 22, 2019 @ 12:07pm",EXCLUSIVE,GAZETTING a national heritage goes beyond preserving its structure; it’s equally important to remember how it came to exist and the stories behind it.
SMART team ready for flood season,"Nov 22, 2019 @ 12:05pm",EXCLUSIVE,"KUALA SELANGOR: THE Special Malaysia Disaster Assistance and Rescue Team (SMART) is ready to face the northeast monsoon season, set to take take place from next month to March."
The contraband crisis: 12 billion illicit cigs to be consumed this year,"Nov 21, 2019 @ 12:00pm",EXCLUSIVE,KUALA LUMPUR: Malaysia is facing a crisis over the illicit cigarettes trade with the sale of contraband hitting all-time high this year.
PM: Muslims must admit to mistakes in order to prosper,"Nov 20, 2019 @ 12:00pm",EXCLUSIVE,"SEPANG: The Muslim community should not blame others for their problems as this will not ensure their security or prosperity, said Prime Minister Tun Dr Mahathir Mohamad."
"NEAC members talk to NST about youth empowerment, gig economy","Nov 18, 2019 @ 2:30pm",EXCLUSIVE,"Senior management needs to be aware that the users of today and the future are best understood by people below 40, because they grew up in the economy that is to come."
Tg Piai by-election: 'Defeat a warning to PH',"Nov 18, 2019 @ 1:15pm",EXCLUSIVE,KUALA LUMPUR: The outcome of the Tanjung Piai by-election will not weaken Pakatan Harapan’s (PH) spirit.
Tg Piai by-election: Msians realising the power of the vote,"Nov 18, 2019 @ 1:00pm",EXCLUSIVE,"KUALA LUMPUR: On Saturday, Tanjung Piai voters made sure they were heard loud and clear."
Tg Piai by-election: Msians realising the power of the vote,"Nov 18, 2019 @ 1:00pm",EXCLUSIVE,"KUALA LUMPUR: On Saturday, Tanjung Piai voters made sure they were heard loud and clear."
Experts urge restoration of KL's decaying historic buildings,"Nov 18, 2019 @ 12:34pm",EXCLUSIVE,KUALA LUMPUR: All that is needed to kick-start the restoration of the decaying buildings on Jalan Raja here is RM10 million.
A piece of history falling apart [NSTTV],"Nov 13, 2019 @ 9:00am",EXCLUSIVE,KUALA LUMPUR: An historical building that bore witness to a significant chapter in Malaya’s journey to nationhood is in danger of being lost.
150-year love affair with postcard,"Nov 11, 2019 @ 2:45pm",EXCLUSIVE,"THE postcard celebrates its 150th anniversary this year. During our lifetime, a majority of us may have received at least one of these double-sided rectangular cards bearing greetings from loved ones or acquaintances through the post and could very well have reciprocated the gesture when we are away on vacation."
Is something lacking in Karmaine's campaign?,"Nov 9, 2019 @ 12:02pm",EXCLUSIVE,"PONTIAN: A long, hot week has passed here in Tanjung Piai, and the seaside town is abuzz with morning market walkabouts, kopitiam forums and “war truck” ceramah."
Plundering gold from forest sites,"Nov 9, 2019 @ 12:00pm",EXCLUSIVE,"KUANTAN: ILLEGAL gold miners have been extracting gold nuggets worth nearly half a million ringgit from several spots in the Tersang forest reserve in Raub, it was discovered recently."
Longhouse folks must choose between preservation and safety,"Nov 7, 2019 @ 12:10pm",EXCLUSIVE,THE unfortunate trend of fires burning down longhouses in Sarawak has left the Dayak community in a quandary.
Quick-thinking bus driver averts disaster in Genting landslide,"Nov 7, 2019 @ 12:00pm",EXCLUSIVE,"SWIFT, decisive action by a shuttle bus driver prevented further calamity during the landslide in Genting Highlands on Tuesday evening."
Tg Piai polls: Berjasa candidate wants to 'rebuild nation',"Nov 6, 2019 @ 12:30pm",EXCLUSIVE,Berjasa candidate Datuk Dr Badhrulhisham Abdul Aziz believes his professional background makes him the winning choice for the Tanjung Piai by-election. He tells NST about Berjasa’s ties with Pas and their agenda for Malay unity.
RM18.9bil in 1MDB assets worldwide being tracked down,"Nov 6, 2019 @ 12:20pm",EXCLUSIVE,"KUALA LUMPUR: There are still RM18.9 billion worth of unidentified assets from 1Malaysia Development Bhd (1MDB), which are still being pursued by the Malaysian Anti-Corruption Commission in at least five countries."
MACC probing Defence Ministry land deals,"Nov 6, 2019 @ 12:05pm",EXCLUSIVE,"KUALA LUMPUR: The Malaysian Anti-Corruption Commission (MACC) has initiated investigations into each of the 16 land swap deal cases involving the Defence Ministry, which was said to have taken place in the past 25 years."
Saving longhouses from destruction by fire,"Nov 6, 2019 @ 12:00pm",EXCLUSIVE,"PADAWAN: FOR more than a century, longhouses have been a ubiquitous feature of Sarawak’s landscape, housing a union of family and culture within their walls."
Three remanded over Motorcycle Grand Prix theft,"Nov 5, 2019 @ 12:12pm",EXCLUSIVE,PUTRAJAYA: Three security staff have been remanded until tomorrow to assist in a probe over a recent theft case at the Malaysian Motorcycle Grand Prix.
Long list of reasons Msians shun carpooling,"Nov 5, 2019 @ 12:02pm",EXCLUSIVE,"MALAYSIANS prefer to drive alone to work instead of carpooling or taking public transport, a survey by the Centre for Governance and Political Studies (Cent-GPS) found."
Gals queue up for cue sports with My Ladies Pool,"Nov 4, 2019 @ 1:30pm",EXCLUSIVE,"KUALA LUMPUR: Many Malaysians take up cue sports, which are made up of American Pool (9-ball), British pool, snooker and billiards, from their teenage years or while pursuing tertiary education."
More Penang hilltop land to be sold?,"Nov 4, 2019 @ 12:30pm",EXCLUSIVE,GEORGE TOWN: Is there a possibility of more of Penang’s hilltop land being sold for development?
The charming floating markets of Kelantan,"Nov 3, 2019 @ 1:00pm",EXCLUSIVE,"KOTA BARU: Mention floating market and images of villagers plying their trades, from food and beverages to handicraft and textiles, on small boats in Thailand spring to mind."
1st RMN chief: Don't distort history for political gain,"Nov 2, 2019 @ 1:00pm",EXCLUSIVE,KUALA LUMPUR: Factually written historical records should not be distorted to suit political or religious agendas.
"Trendy, edgy batik blouses","Nov 2, 2019 @ 12:30pm",EXCLUSIVE,GEORGE TOWN: A 30-year-old woman is setting Penang’s fashion market ablaze with her trendy and edgy batik blouses.
Shamsul Iskandar: ISEA's palm oil advisory won't hit industry,"Oct 31, 2019 @ 12:00pm",EXCLUSIVE,"KUALA LUMPUR: THE Primary Industries Ministry has allayed fears about the advisory by a leading Indian trade body urging its members against buying Malaysian palm oil, maintaining that it will not put a dent on Malaysia’s edible oil industry."
Shamsul Iskandar: ISEA's palm oil advisory won't hit industry,"Oct 31, 2019 @ 12:00pm",EXCLUSIVE,"KUALA LUMPUR: THE Primary Industries Ministry has allayed fears about the advisory by a leading Indian trade body urging its members against buying Malaysian palm oil, maintaining that it will not put a dent on Malaysia’s edible oil industry."
"Airline, air charter firm under probe","Oct 30, 2019 @ 12:00pm",EXCLUSIVE,AN international airline is believed to have “shortchanged” its expatriate cabin crew by masking their basic salaries.
"Yayasan Hasanah - Pioneering ways to tackle social, community woes","Oct 26, 2019 @ 1:30pm",EXCLUSIVE,"KUALA LUMPUR: Yayasan Hasanah (Hasanah), the corporate social responsibility (CSR) arm of Khazanah Nasional Bhd, has been setting an example in pioneering sustainable works in addressing community and social issues in the country."
India govt's call on plans to boycott Malaysian palm oil,"Oct 23, 2019 @ 12:00pm",EXCLUSIVE,BANGI: THE ball is now in India government’s court over its plans to boycott palm oil products from Malaysia.
CPOPC to rise up in fighting smear campaign against palm oil,"Oct 23, 2019 @ 12:00pm",EXCLUSIVE,"BANGI: Malaysia and Indonesia need to up their game in debating and setting narratives for the palm oil industry to better tackle decades of smear campaigns, industry officials said."
Mujahid: We want to build this country together,"Oct 21, 2019 @ 12:05pm",EXCLUSIVE,"Minister in the Prime Minister’s Department (Religious Affairs) Datuk Seri Dr Mujahid Yusof Rawa tells NST about the progress of reforms, the political situation and his aspirations for the country."
"Pok Ku, the 'bottle whisperer'","Oct 20, 2019 @ 3:26pm",EXCLUSIVE,"IT is never a good idea to keep your feelings bottled up. Instead, you should “whisper” them out to the ocean, because someone, somewhere in another part of the world, might just “listen”."
Creating a livable Kg Baru for the Malays,"Oct 20, 2019 @ 12:15pm",EXCLUSIVE,"When Federal Territories Minister Khalid Abdul Samad told the PM he wanted to redevelop Kg Baru, Dr Mahathir wished him ‘good luck’. Despite the challenges, Khalid tells NSTP he is determined to realise the project."
"Khalid to Shahrir: Bro, in a way, I do miss seeing you in Parliament","Oct 20, 2019 @ 10:00am",EXCLUSIVE,"PUTRAJAYA: ""It must be hard for my brother."""
"If you see a late night or early morning tweet, that's probably me - Khalid","Oct 19, 2019 @ 8:00pm",EXCLUSIVE,KUALA LUMPUR: Federal Territories Minister Khalid Samad is unaffected by the unflattering memes the criticism that he is drawing on social media.
River of Life: 'PAC should scrutinise project inconsistencies',"Oct 19, 2019 @ 12:10pm",EXCLUSIVE,"KUALA LUMPUR: The Public Accounts Committee is the right authority to look into the inconsistencies with the River of Life (RoL) project, said local government expert Derek Fernandez."
'External auditors can take a look at River of Life',"Oct 19, 2019 @ 12:05pm",EXCLUSIVE,"KUALA LUMPUR: As the pressure piles on the Federal Territories Ministry to launch a probe into the reported “irregularities” with the River of Life (RoL) project, its minister, Khalid Samad, has welcomed external auditors to scrutinise it."
Treading the waters of international relations with Rastam Mohd Isa,"Oct 19, 2019 @ 12:00pm",EXCLUSIVE,INSTITUTE of Strategic and International Studies (ISIS) Malaysia chairman and chief executive Tan Sri Rastam Mohd Isa says going from Jakarta to New York to galvanise Non-Aligned Movement members to stop the war on Iraq was one of his most memorable diplomatic moments.
Dr Serena wins cancer research prize,"Oct 18, 2019 @ 12:00pm",EXCLUSIVE,"KUALA LUMPUR: “Be authentic and stay true to yourself. Be something because you want to, not because anyone else wants you to.”"
Kuantan tunnel longest in ECRL's Dungun-Mentakab alignment,"Oct 16, 2019 @ 12:15pm",EXCLUSIVE,KUANTAN: The relaunch of the East Coast Rail Link (ECRL) project on July 25 has kick-started the construction of the longest rail tunnel along the 223km line between Dungun in Terengganu and Mentakab in Pahang.
ECRL on track as catalyst for economic spin-offs,"Oct 16, 2019 @ 12:00pm",EXCLUSIVE,MALAYSIA Rail Link Sdn Bhd chief executive officer Datuk Seri Darwis Abdul Razak is upbeat over the renewed East Coast Rail Link blueprint. He is determined to make it work to further modernise Malaysia’s public transportation system. He speaks to NSTP on the project’s latest developments.
Ex-MP's mother for Tanjung Piai?,"Oct 15, 2019 @ 1:30pm",EXCLUSIVE,"JOHOR BARU: Pakatan Harapan is believed to be considering Norma Mohamed, the mother of the late Datuk Dr Md Farid Md Rafik, who was the Tanjung Piai member of parliament, as its candidate for the seat’s by-election."
Golden chance to unite Malay parties,"Oct 14, 2019 @ 2:04pm",EXCLUSIVE,"KUALA LUMPUR: IT is possible for Malay-based parties to unite under a single umbrella, provided several conditions, including putting aside egos and severing ties with common rivals, are met."
'Vision will ensure no one left behind',"Oct 14, 2019 @ 2:00pm",EXCLUSIVE,"KUALA LUMPIR: The Pakatan Harapan government on Friday unveiled the 2020 Budget, which aims to ensure that no Malaysian is left behind in the country’s development."
Waste-to-energy facility faces another delay,"Oct 14, 2019 @ 1:45pm",EXCLUSIVE,"PORT DICKSON: As the country tries to resolve its waste problem, news of the revival of the first waste-to-energy (WTE) incinerator plant in Ladang Tanah Merah here should have come as a breath of fresh air."
Waste-to-energy facility faces another delay,"Oct 14, 2019 @ 1:45pm",EXCLUSIVE,"PORT DICKSON: As the country tries to resolve its waste problem, news of the revival of the first waste-to-energy (WTE) incinerator plant in Ladang Tanah Merah here should have come as a breath of fresh air."
"E-hailing regulation: 'Brace for worst today, tomorrow'","Oct 14, 2019 @ 1:35pm",EXCLUSIVE,"KUALA LUMPUR: With the number of licensed e-hailing drivers almost halved following the enforcement of the e-hailing regulation yesterday, ride-sharing users are advised to expect a longer waiting period with the possibility of paying more for the service."
2020 Budget: Expansionary policy to continue,"Oct 11, 2019 @ 2:00pm",EXCLUSIVE,"KUALA LUMPUR: THE 2020 Budget, the second annual financial plan under the Pakatan Harapan government, will be a bit more challenging."
'Don't overlook Orang Asli in 2020 Budget',"Oct 9, 2019 @ 1:15pm",EXCLUSIVE,"THE Peninsular Malaysia Orang Asli Network hopes the government will focus on basic development involving the Orang Asli in the 2020 Budget, which will be tabled on Friday."
Will BN field Umno or MCA candidate in Tg Piai?,"Oct 9, 2019 @ 12:45pm",EXCLUSIVE,THE statement by Tun Dr Mahathir Mohamad on the possibility that the Pakatan Harapan candidate would retain the Tanjung Piai parliamentary seat has been described as a form of psychological warfare.
2020 Budget: Allocate more R&D funds for OKU,"Oct 9, 2019 @ 12:32pm",EXCLUSIVE,"KUALA LUMPUR: The disabled community hopes the government, under the 2020 Budget, will provide funding to institutions of higher learning for research and development for people with developmental disabilities, learning disorders, dyslexia, autism and Attention Deficit-Hyperactivity Disorder ."
Aussie WWII hero who fought in Msia soldiers on at 96,"Oct 9, 2019 @ 12:15pm",EXCLUSIVE,"HE was just nine months at sea as a 19-year-old midshipman, when sudden battle orders were called."
Yayasan Sejahtera declares war on poverty,"Oct 7, 2019 @ 12:00pm",EXCLUSIVE,"LUXURY was an alien concept to a woman in Kampung Pulutan, Sabah, who previously earned a meager income from her ginger farm."
The strength within: Tengku Puteri Iman Afzan opens up to NST about mental health,"Oct 6, 2019 @ 10:31am",EXCLUSIVE,"WHEN she was a teenager, Tengku Puteri Raja Tengku Puteri Iman Afzan Al-Sultan Abdullah, 26, suffered from anxiety. She didn’t know what was wrong and didn’t ask for help, something she wished she had done."
"Focus on eradicating poverty, not causing disunity, says Bersatu leader","Oct 4, 2019 @ 12:05pm",EXCLUSIVE,LAWYER and veteran politician Tan Sri Megat Najmuddin Megat Khas stressed the importance of the people’s economy and wellbeing for any nation to progress.
'EU won't lose its appeal just because UK is leaving',"Oct 3, 2019 @ 12:01pm",EXCLUSIVE,THE European Union remains an important entity that has been guaranteeing peace and prosperity among its 28-member states.
'Repairing culverts should be priority',"Sep 28, 2019 @ 1:00pm",EXCLUSIVE,"Johor Baru: WHILE the benefit of building a passageway for vessels at the Causeway continues to be debated, activists in Johor are urging the government to first repair the culverts, which spanned the length of the 1.06km-long link."
Conduct study on how pedestrian walkway can reduce traffic,"Sep 27, 2019 @ 12:09pm",EXCLUSIVE,JOHOR BARU: Studies should be done on how much traffic can be reduced if a pedestrian walkway is built on the Malaysian side of the Causeway.
'Improve Causeway immigration process',"Sep 27, 2019 @ 12:00pm",EXCLUSIVE,"JOHOR BARU: The impending construction of a 1.2km pedestrian walkway linking Malaysia and Singapore at the Causeway has, since its announcement last month, received widespread praise for its outside-the-box concept."
Objection to penalty clause,"Mar 31, 2019 @ 8:46am",EXCLUSIVE,"SEVERAL ministers have reportedly voiced their objection to terms in the upcoming Public Service Act, which, among others, aims to institute separation of powers between civil servants and the political administration."
Nation's first highway in bad shape,"Mar 23, 2019 @ 8:29am",EXCLUSIVE,"The closer we get to Klang from Petaling Jaya, the more problems we noticed, including poor lighting and unreplaced bulbs. The road towards the KL stretch seem to be better maintained."
"Area a key shipping route, connects Pacific Ocean, SE Asia","Mar 2, 2019 @ 11:06pm",EXCLUSIVE,
Malaysia's right to stake claim to Spratlys,"Mar 2, 2019 @ 11:05pm",EXCLUSIVE,"Defence experts said these included the constellation of islands, cays, reefs and shoals that make up the Spratlys archipelago."
'It can't cope with large crowds',"Jan 20, 2019 @ 7:53am",EXCLUSIVE,“I admit that the number of counters is not enough to cope with large crowds during public and school holidays.
What an ordeal just to get to work,"Jan 20, 2019 @ 7:38am",EXCLUSIVE,"Malaysian motorcyclists routinely endure massive congestion at the Johor-Singapore border to get to work. This situation, which is getting worse, has resulted in not just flare-ups, but also accidents. In the first of a two-part series, Ahmad Fairuz Othman and Rizalman Hammim report on the longstanding problem that is taking a toll on 60,000 riders"
